2.136668779609869340e+00,1.716555360806933717e+00
2.082642896606406779e+00,1.786171116772216738e+00
3.372758975686357186e+00,2.859193266135400258e+00
2.382860894410439023e+00,2.047432686060243867e+00
2.243831326880726174e+00,1.877410972130014732e+00
1.782824689637510618e+00,1.545683259908112950e+00
3.166013892248850325e+00,2.843161418788419326e+00
2.056511278254279596e+00,1.723023485547583000e+00
2.187829791240833543e+00,1.853570851650502505e+00
3.163985138337061631e+00,2.754052474482748369e+00
2.515619839343100139e+01,2.498849320514015560e+01
1.526690722286387691e+00,1.220903537589163035e+00
7.677508747447585158e+00,6.962748880685070141e+00
2.302113994532196450e+00,1.920926331772322637e+00
2.029550483901587654e+00,1.610914437960057066e+00
2.727683800135684233e+00,2.237581601122618391e+00
2.422390353257656948e+00,2.105680383968821623e+00
2.133784271784882502e+00,1.741632177967348927e+00
4.047876109657276622e+00,3.720879885918416008e+00
1.965538859461879673e+00,1.632081258412821922e+00
3.550338563658511415e+00,3.019551744368345947e+00
7.031493524823739349e+00,6.155556949044385107e+00
2.073108297627793917e+00,1.732518664475271697e+00
1.612197174438198877e+00,1.279974609064566948e+00
2.060476252989908552e+00,1.796413505015655776e+00
